column,missing_count,missing_pct,dtype
COMMONAREA_AVG,214865,69.87,float64
COMMONAREA_MODE,214865,69.87,float64
COMMONAREA_MEDI,214865,69.87,float64
NONLIVINGAPARTMENTS_AVG,213514,69.43,float64
NONLIVINGAPARTMENTS_MODE,213514,69.43,float64
NONLIVINGAPARTMENTS_MEDI,213514,69.43,float64
FONDKAPREMONT_MODE,210295,68.39,str
LIVINGAPARTMENTS_AVG,210199,68.35,float64
LIVINGAPARTMENTS_MODE,210199,68.35,float64
LIVINGAPARTMENTS_MEDI,210199,68.35,float64
FLOORSMIN_AVG,208642,67.85,float64
FLOORSMIN_MODE,208642,67.85,float64
FLOORSMIN_MEDI,208642,67.85,float64
YEARS_BUILD_AVG,204488,66.5,float64
YEARS_BUILD_MODE,204488,66.5,float64
YEARS_BUILD_MEDI,204488,66.5,float64
OWN_CAR_AGE,202929,65.99,float64
LANDAREA_AVG,182590,59.38,float64
LANDAREA_MODE,182590,59.38,float64
LANDAREA_MEDI,182590,59.38,float64
BASEMENTAREA_AVG,179943,58.52,float64
BASEMENTAREA_MODE,179943,58.52,float64
BASEMENTAREA_MEDI,179943,58.52,float64
EXT_SOURCE_1,173378,56.38,float64
NONLIVINGAREA_AVG,169682,55.18,float64
NONLIVINGAREA_MODE,169682,55.18,float64
NONLIVINGAREA_MEDI,169682,55.18,float64
ELEVATORS_AVG,163891,53.3,float64
ELEVATORS_MODE,163891,53.3,float64
ELEVATORS_MEDI,163891,53.3,float64
WALLSMATERIAL_MODE,156341,50.84,str
APARTMENTS_AVG,156061,50.75,float64
APARTMENTS_MODE,156061,50.75,float64
APARTMENTS_MEDI,156061,50.75,float64
ENTRANCES_AVG,154828,50.35,float64
ENTRANCES_MODE,154828,50.35,float64
ENTRANCES_MEDI,154828,50.35,float64
LIVINGAREA_AVG,154350,50.19,float64
LIVINGAREA_MODE,154350,50.19,float64
LIVINGAREA_MEDI,154350,50.19,float64
HOUSETYPE_MODE,154297,50.18,str
FLOORSMAX_AVG,153020,49.76,float64
FLOORSMAX_MODE,153020,49.76,float64
FLOORSMAX_MEDI,153020,49.76,float64
YEARS_BEGINEXPLUATATION_AVG,150007,48.78,float64
YEARS_BEGINEXPLUATATION_MODE,150007,48.78,float64
YEARS_BEGINEXPLUATATION_MEDI,150007,48.78,float64
TOTALAREA_MODE,148431,48.27,float64
EMERGENCYSTATE_MODE,145755,47.4,str
OCCUPATION_TYPE,96391,31.35,str
EXT_SOURCE_3,60965,19.83,float64
AMT_REQ_CREDIT_BUREAU_HOUR,41519,13.5,float64
AMT_REQ_CREDIT_BUREAU_DAY,41519,13.5,float64
AMT_REQ_CREDIT_BUREAU_WEEK,41519,13.5,float64
AMT_REQ_CREDIT_BUREAU_MON,41519,13.5,float64
AMT_REQ_CREDIT_BUREAU_QRT,41519,13.5,float64
AMT_REQ_CREDIT_BUREAU_YEAR,41519,13.5,float64
NAME_TYPE_SUITE,1292,0.42,str
OBS_30_CNT_SOCIAL_CIRCLE,1021,0.33,float64
DEF_30_CNT_SOCIAL_CIRCLE,1021,0.33,float64
OBS_60_CNT_SOCIAL_CIRCLE,1021,0.33,float64
DEF_60_CNT_SOCIAL_CIRCLE,1021,0.33,float64
EXT_SOURCE_2,660,0.21,float64
AMT_GOODS_PRICE,278,0.09,float64
AMT_ANNUITY,12,0.0,float64
CNT_FAM_MEMBERS,2,0.0,float64
DAYS_LAST_PHONE_CHANGE,1,0.0,float64
SK_ID_CURR,0,0.0,int64
TARGET,0,0.0,int64
NAME_CONTRACT_TYPE,0,0.0,str
CODE_GENDER,0,0.0,str
FLAG_OWN_CAR,0,0.0,str
FLAG_OWN_REALTY,0,0.0,str
CNT_CHILDREN,0,0.0,int64
AMT_INCOME_TOTAL,0,0.0,float64
AMT_CREDIT,0,0.0,float64
NAME_INCOME_TYPE,0,0.0,str
NAME_EDUCATION_TYPE,0,0.0,str
NAME_FAMILY_STATUS,0,0.0,str
NAME_HOUSING_TYPE,0,0.0,str
REGION_POPULATION_RELATIVE,0,0.0,float64
DAYS_BIRTH,0,0.0,int64
DAYS_EMPLOYED,0,0.0,int64
DAYS_REGISTRATION,0,0.0,float64
DAYS_ID_PUBLISH,0,0.0,int64
FLAG_MOBIL,0,0.0,int64
FLAG_EMP_PHONE,0,0.0,int64
FLAG_WORK_PHONE,0,0.0,int64
FLAG_CONT_MOBILE,0,0.0,int64
FLAG_PHONE,0,0.0,int64
FLAG_EMAIL,0,0.0,int64
REGION_RATING_CLIENT,0,0.0,int64
REGION_RATING_CLIENT_W_CITY,0,0.0,int64
WEEKDAY_APPR_PROCESS_START,0,0.0,str
HOUR_APPR_PROCESS_START,0,0.0,int64
REG_REGION_NOT_LIVE_REGION,0,0.0,int64
REG_REGION_NOT_WORK_REGION,0,0.0,int64
LIVE_REGION_NOT_WORK_REGION,0,0.0,int64
REG_CITY_NOT_LIVE_CITY,0,0.0,int64
REG_CITY_NOT_WORK_CITY,0,0.0,int64
LIVE_CITY_NOT_WORK_CITY,0,0.0,int64
ORGANIZATION_TYPE,0,0.0,str
FLAG_DOCUMENT_2,0,0.0,int64
FLAG_DOCUMENT_3,0,0.0,int64
FLAG_DOCUMENT_4,0,0.0,int64
FLAG_DOCUMENT_5,0,0.0,int64
FLAG_DOCUMENT_6,0,0.0,int64
FLAG_DOCUMENT_7,0,0.0,int64
FLAG_DOCUMENT_8,0,0.0,int64
FLAG_DOCUMENT_9,0,0.0,int64
FLAG_DOCUMENT_10,0,0.0,int64
FLAG_DOCUMENT_11,0,0.0,int64
FLAG_DOCUMENT_12,0,0.0,int64
FLAG_DOCUMENT_13,0,0.0,int64
FLAG_DOCUMENT_14,0,0.0,int64
FLAG_DOCUMENT_15,0,0.0,int64
FLAG_DOCUMENT_16,0,0.0,int64
FLAG_DOCUMENT_17,0,0.0,int64
FLAG_DOCUMENT_18,0,0.0,int64
FLAG_DOCUMENT_19,0,0.0,int64
FLAG_DOCUMENT_20,0,0.0,int64
FLAG_DOCUMENT_21,0,0.0,int64
